Node_ID,Main_Tag,Detailed_Tag
3296,Generalista,Generalista
7449,Generalista,Generalista
13562,Generalista,Generalista
18096,Generalista,Generalista
27051,Generalista,Generalista
30125,Moda_Lusso,Puro_Moda_Lusso
50731,Action_Figure,Puro_Action_Figure
56043,Generalista,Debole_Moda_Lusso
56251,Generalista,Generalista_Puro
73783,Generalista,Debole_Moda_Lusso
87371,Generalista,Debole_Action_Figure
101753,Generalista,Debole_Action_Figure
114205,Generalista,Debole_Moda_Lusso
116011,Generalista,Debole_Moda_Lusso
120017,Moda_Lusso,Puro_Moda_Lusso
153583,Generalista,Generalista
154261,Moda_Lusso,Puro_Moda_Lusso
166523,Moda_Lusso,Puro_Moda_Lusso
191897,Generalista,Debole_Action_Figure
209973,Generalista,Generalista_Puro
230435,Generalista,Generalista
238729,Generalista,Debole_Moda_Lusso
269885,Carte_TCG,Puro_Carte_TCG
270155,Generalista,Generalista
281245,Generalista,Generalista
297931,Moda_Lusso,Puro_Moda_Lusso
319935,Generalista,Debole_Moda_Lusso
325459,Generalista,Debole_Gaming_Console
331129,Action_Figure,Puro_Action_Figure
341515,Generalista,Debole_Moda_Lusso
376613,Moda_Lusso,Puro_Moda_Lusso
387417,Generalista,Debole_Moda_Lusso
418639,Moda_Lusso,Puro_Moda_Lusso
439689,Generalista,Generalista_Puro
472973,Generalista,Debole_Moda_Lusso
480225,Moda_Lusso,Puro_Moda_Lusso
484275,Generalista,Debole_Action_Figure
511519,Generalista,Debole_Moda_Lusso
517621,Moda_Lusso,Puro_Moda_Lusso
522573,Generalista,Debole_Tech_Elettronica
532469,Moda_Lusso,Puro_Moda_Lusso
558643,Generalista,Generalista
578133,Generalista,Debole_Moda_Lusso
588481,Generalista,Debole_Moda_Lusso
592829,Generalista,Generalista_Puro
601725,Action_Figure,Puro_Action_Figure
602353,Moda_Lusso,Puro_Moda_Lusso
614529,Moda_Lusso,Puro_Moda_Lusso
639909,Multi_category,Multi_category_Fumetti_Manga_Moda_Lusso
652191,Generalista,Generalista_Puro
668589,Generalista,Generalista
683215,Generalista,Generalista
693151,Generalista,Generalista
698231,Generalista,Debole_Moda_Lusso
706029,Generalista,Debole_Moda_Lusso
706049,Generalista,Debole_Action_Figure
732161,Generalista,Generalista_Puro
772069,Generalista,Debole_Moda_Lusso
780145,Generalista,Debole_Moda_Lusso
792523,Multi_category,Multi_category_Moda_Lusso_Action_Figure
796567,Generalista,Generalista
797435,Generalista,Generalista
801861,Multi_category,Multi_category_Action_Figure_Moda_Lusso
807595,Generalista,Generalista
815119,Generalista,Generalista
828191,Generalista,Debole_Moda_Lusso
846783,Generalista,Debole_Moda_Lusso
888633,Generalista,Generalista_Puro
890031,Generalista,Generalista_Puro
891069,Moda_Lusso,Puro_Moda_Lusso
916416,Moda_Lusso,Puro_Moda_Lusso
931002,Multi_category,Multi_category_Action_Figure_Moda_Lusso
952958,Action_Figure,Puro_Action_Figure
959308,Generalista,Debole_Action_Figure
973996,Moda_Lusso,Puro_Moda_Lusso
982518,Tech_Elettronica,Puro_Tech_Elettronica
984004,Action_Figure,Puro_Action_Figure
1028766,Generalista,Debole_Action_Figure
1059024,Moda_Lusso,Puro_Moda_Lusso
1082444,Generalista,Generalista
1095688,Moda_Lusso,Puro_Moda_Lusso
1096414,Multi_category,Multi_category_Action_Figure_Gaming_Console
1098738,Generalista,Debole_Moda_Lusso
1099044,Generalista,Debole_Moda_Lusso
1100098,Generalista,Generalista_Puro
1109060,Moda_Lusso,Puro_Moda_Lusso
1119036,Generalista,Debole_Action_Figure
1133698,Generalista,Debole_Action_Figure
1140410,Moda_Lusso,Puro_Moda_Lusso
1140542,Moda_Lusso,Puro_Moda_Lusso
1164344,Generalista,Debole_Moda_Lusso
1169842,Generalista,Debole_Moda_Lusso
1171218,Moda_Lusso,Puro_Moda_Lusso
1208298,Generalista,Generalista
1228298,Generalista,Debole_Tech_Elettronica
1243338,Generalista,Debole_Moda_Lusso
1256116,Generalista,Debole_Action_Figure
1262860,Generalista,Generalista_Puro
1274256,Generalista,Generalista_Puro
1277794,Generalista,Generalista_Puro
1280552,Generalista,Debole_Fumetti_Manga
1284244,Generalista,Debole_Action_Figure
1294824,Multi_category,Multi_category_Action_Figure_Moda_Lusso
1296802,Moda_Lusso,Puro_Moda_Lusso
1297166,Generalista,Generalista_Puro
1310238,Action_Figure,Puro_Action_Figure
1358832,Generalista,Generalista_Puro
1369844,Generalista,Debole_Moda_Lusso
1370466,Multi_category,Multi_category_Gaming_Console_Action_Figure
1407848,Generalista,Generalista_Puro
1413882,Moda_Lusso,Puro_Moda_Lusso
1415604,Generalista,Debole_Gaming_Console
1426644,Generalista,Debole_Action_Figure
1432372,Generalista,Debole_Action_Figure
1438812,Multi_category,Multi_category_Moda_Lusso_Action_Figure
1439776,Moda_Lusso,Puro_Moda_Lusso
1444886,Generalista,Generalista
1448242,Generalista,Generalista
1450282,Moda_Lusso,Puro_Moda_Lusso
1487614,Generalista,Debole_Moda_Lusso
1491636,Action_Figure,Puro_Action_Figure
1496358,Action_Figure,Puro_Action_Figure
1505274,Moda_Lusso,Puro_Moda_Lusso
1511416,Generalista,Debole_Moda_Lusso
1519928,Action_Figure,Puro_Action_Figure
1538652,Generalista,Debole_Moda_Lusso
1558792,Generalista,Debole_Moda_Lusso
1562184,Action_Figure,Puro_Action_Figure
1615152,Generalista,Debole_Action_Figure
1624292,Generalista,Debole_Moda_Lusso
1636800,Action_Figure,Puro_Action_Figure
1638118,Moda_Lusso,Puro_Moda_Lusso
1638714,Generalista,Debole_Action_Figure
1644036,Generalista,Debole_Carte_TCG
1655894,Moda_Lusso,Puro_Moda_Lusso
1678328,Moda_Lusso,Puro_Moda_Lusso
1690890,Generalista,Debole_Moda_Lusso
1717898,Moda_Lusso,Puro_Moda_Lusso
1722452,Generalista,Generalista
1745796,Generalista,Debole_Moda_Lusso
1753186,Generalista,Debole_Action_Figure
1756572,Moda_Lusso,Puro_Moda_Lusso
1756808,Generalista,Debole_Fumetti_Manga
1765990,Generalista,Generalista_Puro
1788804,Multi_category,Multi_category_Action_Figure_Moda_Lusso
1796692,Generalista,Generalista_Puro
1800712,Generalista,Debole_Moda_Lusso
1801494,Generalista,Debole_Moda_Lusso
1805066,Multi_category,Multi_category_Moda_Lusso_Fumetti_Manga
1835454,Multi_category,Multi_category_Moda_Lusso_Action_Figure
1836158,Generalista,Generalista
1857288,Moda_Lusso,Puro_Moda_Lusso
1858298,Generalista,Generalista
1863240,Generalista,Generalista
1879168,Generalista,Debole_Moda_Lusso
1885852,Generalista,Generalista_Puro
1904782,Multi_category,Multi_category_Gaming_Console_Carte_TCG
1906636,Generalista,Generalista_Puro
1906648,Generalista,Debole_Moda_Lusso
1910896,Generalista,Debole_Fumetti_Manga
1918856,Multi_category,Multi_category_Moda_Lusso_Gaming_Console
1938730,Moda_Lusso,Puro_Moda_Lusso
1946588,Gaming_Console,Puro_Gaming_Console
1965428,Moda_Lusso,Puro_Moda_Lusso
1983506,Generalista,Generalista
1985390,Generalista,Generalista
1988624,Generalista,Generalista
1988728,Generalista,Generalista
2006574,Generalista,Generalista
2177538,Generalista,Generalista_Puro
2756282,Generalista,Generalista
3097914,Generalista,Debole_Gaming_Console
3371632,Generalista,Debole_Moda_Lusso
3426828,Generalista,Generalista
3470608,Moda_Lusso,Puro_Moda_Lusso
3694710,Moda_Lusso,Puro_Moda_Lusso
